client_id,admin,password,last_name,first_name,email,phone_number,billing_address,shipping_address,creation_date
1,True,mdp,Souffir,Mendel,mendel.souffir1@gmail.com,0635209708,"7 rue Danielle Casanova, Sarcelles, France 95200","7 rue Danielle Casanova, Sarcelles, France 95200","2024-10-13 12:00:00"
2,False,g&7Z9ng7f&,Reid,Elizabeth,leonardjennifer@yahoo.com,0759176897,"3973 Manuel Forks South Anthonyville, GA 36136","9400 Clark Isle Whiteport, MD 24283","2024-10-13 12:00:00"
3,False,m!6OY0n(gf,Davis,Amber,sbrown@hotmail.com,0676946241,"79799 Michael Isle Suite 921 Carlville, TX 61073","3350 Rachael Park Suite 393 East Donna, RI 05247","2024-10-13 12:00:00"
4,False,a#BD13TecN,Torres,Monica,jsexton@gmail.com,0667977883,"434 Moran Springs Suite 692 Lake Jenniferfort, DC 73340","73956 Mark Stream Desireeview, WY 34303","2024-10-13 12:00:00"
5,False,*2KyEfHC7y,Snyder,Joshua,aaron47@yahoo.com,0615289012,"69707 Fernandez Brooks Suite 481 Huntershire, OH 86109","7727 Lawrence Trail East Holly, UT 97653","2024-10-13 12:00:00"
6,False,g1^1PtR)Q@,Jackson,Angela,denisehayes@hotmail.com,0739768753,"16143 Huffman Lakes Apt. 380 Stewartfurt, OH 73526","Unit 0938 Box 4674 DPO AA 19357","2024-10-13 12:00:00"
7,False,y9ValH5y!c,West,Samuel,thudson@carroll.com,0674802415,"7032 Price Green Apt. 911 Kempfurt, NJ 71543","73419 Wayne Centers Suite 034 Maryland, AK 81464","2024-10-13 12:00:00"
8,False,ihDS#30Y*2,White,Carl,hawkinsrichard@hotmail.com,0761415522,"2468 Page Ramp South Michaelfort, LA 35317","11597 Gonzalez Island Suite 806 Garzafort, NV 38098","2024-10-13 12:00:00"
9,False,9xOvI0r!(5,Eaton,Victoria,dwheeler@gmail.com,0719912450,"526 Felicia Plaza Apt. 211 Brucemouth, MS 76852","66368 Peters Creek Port Stephenland, UT 37998","2024-10-13 12:00:00"
10,False,kPF8oChU#d,Odonnell,Nancy,patrick93@barnes.biz,0788249880,"784 Alyssa Estate Suite 315 Jameston, VT 13443","342 Estrada Branch Apt. 079 East Douglas, WY 11650","2024-10-13 12:00:00"
